candidate,reference
"He forgot to reply to the message yesterday.","He didn’t respond to the message yesterday like he was supposed to."
"The meeting was moved to next Monday.","The meeting has been rescheduled and will now take place next Monday."
"Scientists discovered a new type of coral in the Pacific Ocean.","A new coral species has been identified by researchers in the Pacific."
"She finally passed her driving test on the second attempt.","After failing once, she managed to pass her driving test on the second try."
"The restaurant will close early tonight due to maintenance.","Because maintenance is scheduled, the restaurant will shut earlier than usual tonight."
"The government announced a new tax policy this morning.","A new taxation plan was revealed by the government earlier today."
"Heavy rain caused several roads to flood overnight.","Numerous roads were flooded last night because of the heavy rainfall."
"The company is planning to open two new offices next year.","Next year, the company intends to expand by opening two additional offices."
"He deleted the file by accident.","He removed the file unintentionally."
"The new law will come into effect in January.","The newly approved legislation will be enforced starting in January."
"The teacher encouraged students to ask more questions.","The teacher motivated the students to be more curious and ask questions."
"She didn't recognise him at first because he had shaved his beard.","She didn't realise it was him initially since he had shaved off his beard."
"The match was cancelled because of a power outage.","A power failure led to the cancellation of the match."
"The team celebrated after winning the championship.","The team held a celebration following their championship victory."
"He paid the bill before leaving the restaurant.","He settled the payment before walking out of the restaurant."
"The store will offer discounts throughout the weekend.","The shop will provide sales and discounts all weekend long."
"Doctors say the medicine may cause mild headaches.","According to doctors, the medication could result in minor headaches."
"The museum opened a new exhibition on ancient Egypt.","A new exhibit featuring ancient Egypt has been launched at the museum."
"She lost her passport during the trip.","Her passport went missing while she was travelling."
"Gas prices increased again this month.","Fuel costs have risen once more this month."
"The train was delayed due to technical issues.","Technical problems caused the train to run late."
"The app was updated to fix several bugs.","The latest app update resolved multiple glitches."
"He forgot where he parked the car.","He couldn’t remember the location where he had left his car."
"The dog barked loudly at the delivery driver.","The dog made a loud noise when the delivery person arrived."
"The project deadline has been extended by two weeks.","The project timeline was pushed back by an extra two weeks."
"She decided to quit her job and start a business.","She left her job to begin her own business venture."
"Students protested against the decision to raise tuition fees.","A student protest took place after tuition fees were increased."
"The flight landed safely despite bad weather.","Even with rough weather, the plane touched down safely."
"The movie received mixed reviews from critics.","Critics gave the film a combination of positive and negative feedback."
"He saved money by cooking at home instead of eating out.","He reduced expenses by preparing meals at home rather than dining out."
"The teacher marked all the papers over the weekend.","The teacher graded the assignments during the weekend."
"They adopted a dog from the local shelter.","A dog from the local shelter was adopted by them."
"The streets were empty early in the morning.","Nobody was out on the streets early in the morning."
"The software will no longer support older devices.","Older devices will not be compatible with the new software update."
"She forgot to water the plants for a week.","She neglected the plants and didn’t water them for a week."
"The phone battery died while he was on a call.","The call ended because his phone battery ran out."
"The store ran out of milk before noon.","The supermarket sold all its milk before lunchtime."
"He translated the document into Spanish.","The document was converted into Spanish by him."
"The new stadium can hold up to 60,000 people.","The stadium has a maximum seating capacity of sixty thousand spectators."
